time,price_back,size_back,price_lay,size_lay,total_back,total_lay
2020-03-24 13:44:14.904,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:14.982,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:15.228,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:15.498,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:15.773,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:16.042,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:16.314,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:16.593,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:16.873,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:17.142,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:17.416,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:17.692,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:17.950,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:18.226,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:18.498,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:18.769,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:19.043,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:19.314,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:19.589,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:19.862,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:20.129,85.0,17.21,95.0,11.42,1462.8500000000001,-1084.9
2020-03-24 13:44:20.405,85.0,14.46,95.0,11.42,1229.1000000000001,-1084.9
